M15, stop 1.0xATR, TP 2.0R, horizon 96 bars

=== BTCUSD
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  _BASELINE              SELL  100.0%   16403   35.4%   +0.0%   -0.145   +0.000
  wick_reject             BUY   20.0%    3286   30.2%   -0.1%   -0.301   -0.004
  htf_aligned            SELL   48.5%    7960   35.3%   -0.2%   -0.149   -0.005
  bos                     BUY   11.1%    1817   29.9%   -0.4%   -0.309   -0.011
  session_london         SELL   20.8%    3420   34.6%   -0.8%   -0.170   -0.025
  session_asia           SELL   33.3%    5463   34.4%   -1.0%   -0.174   -0.029
  htf_aligned             BUY   46.8%    7680   29.2%   -1.1%   -0.330   -0.032
  session_ny              BUY   20.8%    3420   29.1%   -1.3%   -0.335   -0.038
  volspike               SELL    7.0%    1145   34.0%   -1.4%   -0.188   -0.043
  retest                 SELL   25.0%    4098   33.8%   -1.6%   -0.192   -0.047
  retest                  BUY   22.7%    3731   27.9%   -2.4%   -0.370   -0.072
  displacement           SELL    5.2%     860   32.1%   -3.3%   -0.244   -0.099
  bos                    SELL   12.5%    2046   31.6%   -3.8%   -0.260   -0.115
  fvg                    SELL    6.8%    1111   30.2%   -5.2%   -0.300   -0.155

=== GBPUSD
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  sweep_low               BUY    5.6%     916   33.6%   +3.5%   -0.160   +0.106
  session_asia            BUY   33.3%    5463   33.6%   +3.5%   -0.160   +0.106
  session_london          BUY   20.8%    3420   33.0%   +3.0%   -0.177   +0.089
  sweep_high             SELL    5.5%     903   37.9%   +2.7%   -0.032   +0.080
  discount                BUY   40.1%    6584   32.3%   +2.3%   -0.199   +0.068
  volspike                BUY    4.5%     740   31.9%   +1.8%   -0.212   +0.054
  premium                SELL   37.8%    6206   36.7%   +1.5%   -0.067   +0.046
  fvg                     BUY    6.3%    1028   31.6%   +1.5%   -0.220   +0.046
  session_ny             SELL   20.8%    3420   36.3%   +1.1%   -0.081   +0.032
  htf_aligned            SELL   45.0%    7388   35.3%   +0.1%   -0.108   +0.004
  displacement            BUY    5.1%     844   30.2%   +0.1%   -0.262   +0.004
  volspike               SELL    5.1%     842   35.3%   +0.1%   -0.111   +0.002
  wick_reject            SELL   20.3%    3329   35.2%   +0.0%   -0.113   +0.000
  _BASELINE               BUY  100.0%   16403   30.1%   +0.0%   -0.266   +0.000
  _BASELINE              SELL  100.0%   16403   35.2%   +0.0%   -0.113   +0.000
  session_london         SELL   20.8%    3420   35.0%   -0.2%   -0.119   -0.006
  wick_reject             BUY   20.0%    3286   29.8%   -0.3%   -0.276   -0.010
  bos                     BUY   11.6%    1897   29.5%   -0.6%   -0.283   -0.017
  htf_aligned             BUY   50.3%    8252   29.5%   -0.6%   -0.285   -0.019
  session_ny              BUY   20.8%    3420   28.4%   -1.7%   -0.316   -0.050
  retest                  BUY   23.6%    3877   28.1%   -2.0%   -0.327   -0.061
  retest                 SELL   25.8%    4235   32.8%   -2.4%   -0.186   -0.073
  session_asia           SELL   33.3%    5463   32.7%   -2.5%   -0.189   -0.076
  bos                    SELL   12.4%    2036   31.5%   -3.7%   -0.224   -0.112
  fvg                    SELL    6.7%    1096   31.3%   -3.9%   -0.230   -0.117
  displacement           SELL    4.9%     808   28.5%   -6.7%   -0.315   -0.202

=== USDJPY
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  discount                BUY   23.7%    3880   37.4%   +3.9%   -0.094   +0.118
  session_ny              BUY   20.8%    3420   36.5%   +3.0%   -0.120   +0.091
